Original-name,Fixed-name,office sought,General win/lost,Lost in primary,Party,City,Current elected official,Year,Do they have a pac
"Alexander, Rebecca","Alexander, Rebecca",House of Representatives District 7,Won,Won,Republican,Jonesborough,Yes,2020,
"Baum, Charlie","Baum, Charlie",House of Representatives District 37,Won,Won,Republican,Murfreesboro,Yes,2020,
"Bowling, Janice","Bowling, Janice",Senate District 16,Won,Won,Republican,Tullahoma,Yes,2020,
"Boyd, Clark","Boyd, Clark",House of Representatives District 46,Won,Won,Republican,Lebanon,Yes,2020,
"Bricken, Rush","Bricken, Rush",House of Representatives District 47,Won,Won,Republican,Tullahoma,Yes,2020,
"Campbell, Heidi","Campbell, Heidi",Senate District 20,Won,Won,Democrat,Nashville,Yes,2020,
"Camper, Karen","Camper, Karen",House of Representatives District 87,Won,Won,Democrat,Memphis,Yes,2020,
"Carr, Bruce Dale","Carr, Dale",House of Representatives District 12,Won,Won,Republican,Sevierville,Yes,2020,
"Carringer, Michele","Carringer, Michele",House of Representatives District 16,Won,Won,Republican,Knoxville,Yes,2020,
"Cepicky, Scott","Cepicky, Scott",House of Representatives District 64,Won,Won,Republican,Culleoka,Yes,2020,
"Chism, Jesse","Chism, Jesse",House of Representatives District 85,Won,Won,Democrat,Memphis,Yes,2020,
"Clemmons, John Ray","Clemmons, John Ray",House of Representatives District 55,Won,Won,Democrat,Nashville,Yes,2020,
"Cochran, Mark","Cochran, Mark",House of Representatives District 23,Won,Won,Republican,Englewood,Yes,2020,
"Crawford, John","Crawford, John",House of Representatives District 1,Won,Won,Republican,Kingsport,Yes,2020,
"Darby, Tandy","Darby, Tandy",House of Representatives District 76,Won,Won,Republican,Greenfield,Yes,2020,
"Davis, Elaine","Davis, Elaine",House of Representatives District 13,Lost,Won,Republican,Knoxville,Yes,2020,
"Dixie, Vincent","Dixie, Vincent",House of Representatives District 54,Won,Won,Democrat,Nashville,Yes,2020,
"Doggett, Clay","Doggett, Clay",House of Representatives District 70,Won,Won,Republican,Pulaski,Yes,2020,
"Eldridge, Rick","Eldridge, Rick",House of Representatives District 10,Lost,Lost,Republican,Morristown,Yes,2020,
"Faison, Jeremy","Faison, Jeremy",House of Representatives District 11,Won,Won,Republican,Newport,Yes,2020,
"Farmer, Andrew Ellis","Farmer, Andrew",House of Representatives District 17,Won,Won,Republican,Sevierville,Yes,2020,
"Freeman, Bob","Freeman, Bob",House of Representatives District 56,Won,Won,Democrat,Nashville,Yes,2020,
"Gant, Ron","Gant, Ron",House of Representatives District 94,Won,Won,Republican,Rossville,Yes,2020,
"Gardenhire, Todd","Gardenhire, Todd",Senate District 10,Won,Won,Republican,Chattanooga,Yes,2020,
"Garrett, Johnny","Garrett, Johnny",House of Representatives District 45,Won,Won,Republican,Goodlettsville,Yes,2020,
"Gillespie, John","Gillespie, John",House of Representatives District 97,Won,Won,Republican,Memphis,Yes,2020,
"Glynn, Ronnie L.","Glynn, Ronnie",Senate District 22,Lost,Won,Democrat,Clarksville,Yes,2020,
"Grills, Rusty","Grills, Rusty",House of Representatives District 77,Won,Won,Republican,Newbern,Yes,2020,
"Haile, Ferrell","Haile, Ferrell",Senate District 18,Won,Won,Republican,Gallatin,Yes,2020,
"Hakeem, Yusuf A.","Hakeem, Yusuf",House of Representatives District 28,Won,Won,Democrat,Chattanooga,Yes,2020,
"Hardaway, G. A.","Hardaway, G. A.",House of Representatives District 93,Won,Won,Democrat,Memphis,Yes,2020,
"Harris, Torrey","Harris, Torrey",House of Representatives District 90,Won,Won,Democrat,Memphis,Yes,2020,
"Haston, Kirk","Haston, Kirk",House of Representatives District 72,Won,Won,Republican,Lobelville,Yes,2020,
"Hawk, David","Hawk, David",House of Representatives District 5,Won,Won,Republican,Greeneville,Yes,2020,
"Hazlewood, Patsy","Hazlewood, Patsy",House of Representatives District 27,Won,Won,Republican,Signal Mountain,Yes,2020,
"Helton, Esther","Helton, Esther",House of Representatives District 30,Won,Won,Republican,East Ridge,Yes,2020,
"Hensley, Joey","Hensley, Joey",Senate District 28,Won,Won,Republican,Hohenwald,Yes,2020,
"Hicks, Jr., Gary","Hicks, Gary",House of Representatives District 9,Won,Won,Republican,Rogersville,Yes,2020,
"Hicks, Tim","Hicks, Tim",House of Representatives District 6,Won,Won,Republican,Gray,Yes,2020,
"Hill, Timothy","Hill, Timothy",House of Representatives District 3,Lost,Lost,Republican,Blountville,Yes,2020,
"Holsclaw, John B.","Holsclaw, John",House of Representatives District 4,Won,Won,Republican,Johnson City,Yes,2020,
"Howell, Dan","Howell, Dan",House of Representatives District 22,Won,Won,Republican,Cleveland,Yes,2020,
"Hulsey, Bud","Hulsey, Bud",House of Representatives District 2,Won,Won,Republican,Kingsport,Yes,2020,
"Hurt, Chris","Hurt, Chris",House of Representatives District 82,Won,Won,Republican,Halls,Yes,2020,
"Jernigan, Darren","Jernigan, Darren",House of Representatives District 60,Won,Won,Democrat,Old Hickory,Yes,2020,
"Johnson, Curtis","Johnson, Curtis",House of Representatives District 68,Won,Won,Republican,Clarksville,Yes,2020,
"Johnson, Gloria","Johnson, Gloria",House of Representatives District 13,Won,Won,Democrat,Knoxville,Yes,2020,
"Keisling, Kelly","Keisling, Kelly",House of Representatives District 38,Won,Won,Republican,Byrdstown,Yes,2020,
"Kumar, Sabi (Doc)","Kumar, Sabi",House of Representatives District 66,Won,Won,Republican,Springfield,Yes,2020,
"Kyle, Sara P.","Kyle, Sara",Senate District 30,Won,Won,Democrat,Memphis,Yes,2020,
"Lafferty, Justin","Lafferty, Justin",House of Representatives District 89,Won,Won,Republican,Knoxville,Yes,2020,
"Lamar, London","Lamar, London",House of Representatives District 91,Won,Won,Democrat,Memphis,Yes,2020,
"Lamberth, Ii, William G.","Lamberth, William",House of Representatives District 44,Won,Won,Republican,Portland,Yes,2020,
"Leatherwood, Tom","Leatherwood, Tom",House of Representatives District 99,Won,Won,Republican,Arlington,Yes,2020,
"Littleton, Mary","Littleton, Mary",House of Representatives District 78,Won,Won,Republican,Dickson,Yes,2020,
"Love, Jr., Harold M.","Love, Harold",House of Representatives District 58,Won,Won,Democrat,Nashville,Yes,2020,
"Lundberg, Jon","Lundberg, Jon",Senate District 4,Won,Won,Republican,Bristol,Yes,2020,
"Lynn, Susan","Lynn, Susan",House of Representatives District 57,Won,Won,Republican,Old Hickory,Yes,2020,
"Marsh, Pat","Marsh, Pat",House of Representatives District 62,Won,Won,Republican,Shelbyville,Yes,2020,
"Massey, Rebecca Duncan","Massey, Rebecca Duncan",Senate District 6,Won,Won,Republican,Knoxville,Yes,2020,
"Mckenzie, Sam","McKenzie, Sam",House of Representatives District 15,Won,Won,Democrat,Knoxville,Yes,2020,
"Miller, Larry","Miller, Larry",House of Representatives District 88,Won,Won,Democrat,Memphis,Yes,2020,
"Mitchell, Bo","Mitchell, Bo",House of Representatives District 50,Won,Won,Democrat,Nashville,Yes,2020,
"Moody, Debra","Moody, Debra",House of Representatives District 81,Won,Won,Republican,Covington,Yes,2020,
"Moon, Jerome F.","Moon, Jerome",House of Representatives District 8,Won,Won,Republican,Maryville,Yes,2020,
"Niceley, Frank","Niceley, Frank",Senate District 8,Won,Won,Republican,Strawberry Plains,Yes,2020,
"Parkinson, Antonio ","Parkinson, Antonio ",House of Representatives District 98,Lost,Lost,Democrat,Memphis,Yes,2020,
"Powell, Jason","Powell, Jason",House of Representatives District 53,Won,Won,Democrat,Nashville,Yes,2020,
"Powers, Bill","Powers, Bill",Senate District 22,Won,Won,Republican,Clarksville,Yes,2020,
"Powers, Dennis","Powers, Dennis",House of Representatives District 36,Won,Won,Republican,Jacksboro,Yes,2020,
"Ragan, John","Ragan, John",House of Representatives District 33,Won,Won,Republican,Oak Ridge,Yes,2020,
"Reedy, Jay D.","Reedy, Jay",House of Representatives District 74,Won,Won,Republican,Erin,Yes,2020,
"Reeves, William S.","Reeves, William",Senate District 14,Won,Won,Republican,Murfreesboro,Yes,2020,
"Richey, Bryan Andrew","Richey, Bryan",House of Representatives District 20,Lost,Lost,Republican,Alcoa,Yes,2020,
"Rose, Paul","Rose, Paul",Senate District 32,Won,Won,Republican,Memphis,Yes,2020,
"Rudd, Tim","Rudd, Tim",House of Representatives District 34,Won,Won,Republican,Murfreesboro,Yes,2020,
"Rudder, Iris","Rudder, Iris",House of Representatives District 39,Won,Won,Republican,Winchester,Yes,2020,
"Russell, Larry Lowell","Russell, Larry",House of Representatives District 21,Won,Won,Republican,Vonore,Yes,2020,
"Sexton, Cameron","Sexton, Cameron",House of Representatives District 25,Won,Won,Republican,Nashville,Yes,2020,
"Shaw, Johnny","Shaw, Johnny",House of Representatives District 80,Won,Won,Democrat,Bolivar,Yes,2020,
"Sherrell, Paul","Sherrell, Paul",House of Representatives District 43,Won,Won,Republican,Sparta,Yes,2020,
"Sparks, Michael","Sparks, Mike",House of Representatives District 49,Won,Won,Republican,Smyrna,Yes,2020,
"Stevens, John","Stevens, John",Senate District 24,Won,Won,Republican,Huntingdon,Yes,2020,
"Swann, Art","Swann, Art",Senate District 2,Won,Won,Republican,Alcoa,Yes,2020,
"Terry, Gregory Bryan","Terry, Bryan",House of Representatives District 48,Won,Won,Republican,Murfreesboro,Yes,2020,
"Thompson, Hilman Dwayne","Thompson, Dwayne",House of Representatives District 96,Won,Won,Democrat,Cordova,Yes,2020,
"Todd, Christopher","Todd, Chris",House of Representatives District 73,Won,Won,Republican,Jackson,Yes,2020,
"Towns, Jr., Joe","Towns, Joe",House of Representatives District 84,Won,Won,Democrat,Memphis,Yes,2020,
"Travis, Ron","Travis, Ron",House of Representatives District 31,Won,Won,Republican,Dayton,Yes,2020,
"Vaughan, Kevin","Vaughan, Kevin",House of Representatives District 95,Won,Won,Republican,Collierville,Yes,2020,
"Walley, Page","Walley, Page",Senate District 26,Won,Won,Republican,Bolivar,Yes,2020,
"Warner, Todd","Warner, Todd",House of Representatives District 92,Won,Won,Republican,Chapel Hill,Yes,2020,
"White, Mark","White, Mark",House of Representatives District 83,Won,Won,Republican,Memphis,Yes,2020,
"Whitson, Sam","Whitson, Sam",House of Representatives District 65,Won,Won,Republican,Franklin,Yes,2020,
"Williams, Ryan","Williams, Ryan",House of Representatives District 42,Won,Won,Republican,Cookeville,Yes,2020,
"Wright, Dave","Wright, Dave",House of Representatives District 19,Won,Won,Republican,Corryton,Yes,2020,
"Yager, Ken","Yager, Ken",Senate District 12,Won,Won,Republican,Kingston,Yes,2020,
"Zachary, Jason","Zachary, Jason",House of Representatives District 14,Won,Won,Republican,Knoxville,Yes,2020,
"Abernathy, Kimi","Abernathy, Kimi",Senate District 20,Lost,Lost,Democrat,Nashville,No,2020,
"Abney, Carol Venea","Abney, Carol Venea",House of Representatives District 38,Lost,Won,Democrat,Celina,No,2020,
"Acuff, Robert (Bob)","Acuff, Robert (Bob)",House of Representatives District 4,Lost,Lost,Republican,Elizabthton,No,2020,
"Ashworth, Julie Byrd","Ashworth, Julie Byrd",Senate District 32,Lost,Won,Democrat,Collierville,No,2020,
"Batt, Brad","Batt, Brad",House of Representatives District 6,Lost,Won,Democrat,Johnson City,No,2020,
"Beck, Bill","Beck, Bill",House of Representatives District 51,Won,Won,Democrat,Nashville,No,2020,
"Bledsoe, Sam","Bledsoe, Sam",House of Representatives District 61,Lost,Lost,Democrat,Manchester Ctr,No,2020,
"Bounds, Patti","Bounds, Patti",House of Representatives District 16,Lost,Lost,Republican,Knoxville,No,2020,
"Brooks, Ernest T.","Brooks, Ernest T.",House of Representatives District 80,Lost,Lost,Democrat,Jackson,No,2020,
"Brooks, John Allen","Brooks, John Allen",Senate District 10,Lost,Lost,Democrat,Chattanooga,No,2020,
"Brown, Sam","Brown, Sam",Senate District 6,Lost,Lost,Democrat,Knoxville,No,2020,
"Bryant, Aniya D.","Bryant, Aniya D.",House of Representatives District 54,Lost,Lost,Democrat,Nashville,No,2020,
"Butler, Jr., Houston","Butler, Jr., Houston",House of Representatives District 79,Lost,Won,Independent,Trenton,No,2020,
"Bynum, Dennis","Bynum, Dennis",House of Representatives District 42,Lost,Lost,Republican,Cookeville,No,2020,
"Byrd, David","Byrd, David",House of Representatives District 71,Won,Won,Republican,Jackson,No,2020,
"Calfee, Kent","Calfee, Kent",House of Representatives District 32,Won,Won,Republican,Kingston,No,2020,
"Cameron, Luke","Cameron, Luke",House of Representatives District 43,Lost,Won,Independent,Mcminnville,No,2020,
"Campbell, James G.","Campbell, James G.",House of Representatives District 64,Lost,Won,Democrat,Columbia,No,2020,
"Campbell, Scotty","Campbell, Scotty",House of Representatives District 3,Won,Won,Republican,Mountain City,No,2020,
"Canada, Diane Michel","Canada, Diane Michel",House of Representatives District 56,Lost,Lost,Republican,Ashland City,No,2020,
"Carroll, Austin","Carroll, Austin",House of Representatives District 71,Lost,Lost,Republican,Hohenwald,No,2020,
"Carter, Mike","Carter, Mike",House of Representatives District 29,Won,Won,Republican,Chattanooga,No,2020,
"Casada, Glen","Casada, Glen",House of Representatives District 63,Won,Won,Republican,Franklin,No,2020,
"Clark, Jay","Clark, Jay",House of Representatives District 8,Lost,Won,Democrat,Rockford,No,2020,
"Clayton, Terry","Clayton, Terry",House of Representatives District 54,Lost,Lost,Democrat,Nashville,No,2020,
"Clemons, Chase","Clemons, Chase",Senate District 14,Lost,Lost,Democrat,Auburn,No,2020,
"Cooper, Barbara","Cooper, Barbara",House of Representatives District 86,Won,Won,Democrat,Memphis,No,2020,
"Corcoran, James","Corcoran, James",House of Representatives District 18,Lost,Lost,Republican,Knoxville,No,2020,
"Couch, Virginia","Couch, Virginia",House of Representatives District 18,Lost,Lost,Democrat,Knoxville,No,2020,
"Covington, Michael","Covington, Michael",House of Representatives District 15,Lost,Lost,Independent,Knoxville,No,2020,
"Creasy, Allan","Creasy, Allan",House of Representatives District 97,Lost,Lost,Democrat,Memphis,No,2020,
"Crook, Alvin","Crook, Alvin",House of Representatives District 85,Lost,Lost,Democrat,Memphis,No,2020,
"Crowder, Austin A.","Crowder, Austin A.",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2020,
"Cuevas, Vincent","Cuevas, Vincent",House of Representatives District 92,Lost,Lost,Republican,Lewisburg,No,2020,
"Curcio, Michael G.","Curcio, Michael G.",House of Representatives District 69,Won,Won,Republican,Dickson,No,2020,
"Daniel, Martin","Daniel, Martin",House of Representatives District 18,Lost,Lost,Republican,Knoxville,No,2020,
"Davis, Justin","Davis, Justin",House of Representatives District 14,Lost,Won,Democrat,Knoxville,No,2020,
"Dawson, John","Dawson, John",House of Representatives District 67,Lost,Won,Republican,Clarksville,No,2020,
"Deberry, Jr., John","Deberry, Jr., John",House of Representatives District 90,Lost,Lost,Independent,Memphis,No,2020,
"Deck, Robyn","Deck, Robyn",House of Representatives District 25,Lost,Won,Democrat,Crossville,No,2020,
"Dickerson, Steven","Dickerson, Steven",Senate District 20,Lost,Won,Republican,Nashville,No,2020,
"Dittner, Madison","Dittner, Madison",House of Representatives District 33,Lost,Lost,Democrat,Oak Ridge,No,2020,
"Doster, Dennis","Doster, Dennis",House of Representatives District 76,Lost,Lost,Republican,Dresden,No,2020,
"Drew, Charles E. (Pete)","Drew, Charles E. (Pete)",House of Representatives District 15,Lost,Lost,Republican,Knoxville,No,2020,
"Dunn, Bill","Dunn, Bill",House of Representatives District 16,Lost,Lost,Republican,Knoxville,No,2020,
"Englen, Doug","Englen, Doug",Senate District 22,Lost,Lost,Republican,Clarksville,No,2020,
"Fankhauser, David G. E.","Fankhauser, David G. E.",House of Representatives District 23,Lost,Won,Independent,Tellico Plains,No,2020,
"Farrell, Joan","Farrell, Joan",House of Representatives District 26,Lost,Lost,Democrat,Hixson,No,2020,
"Ferry, Matt H.","Ferry, Matt H.",House of Representatives District 48,Lost,Won,Democrat,Murfreesboro,No,2020,
"Fiscus, Bradley","Fiscus, Bradley",House of Representatives District 63,Lost,Won,Independent,Franklin,No,2020,
"Foley, Jennifer","Foley, Jennifer",House of Representatives District 65,Lost,Lost,Democrat,Spring Hill,No,2020,
"Frazier, William","Frazier, William",House of Representatives District 84,Lost,Lost,Democrat,Memphis,No,2020,
"Frost, Dominique","Frost, Dominique",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2020,
"Gentry, John Anthony","Gentry, John Anthony",Senate District 18,Lost,Won,Independent,Goodlettsville,No,2020,
"George, Jane","George, Jane",Senate District 6,Lost,Won,Democrat,Knoxville,No,2020,
"Gray, James","Gray, James",Senate District 28,Lost,Won,Independent,Columbia,No,2020,
"Green, Jerri","Green, Jerri",House of Representatives District 83,Lost,Lost,Democrat,Memphis,No,2020,
"Gresham, Dolores","Gresham, Dolores",Senate District 26,Lost,Lost,Republican,Somerville,No,2020,
"Griffey, Bruce I.","Griffey, Bruce I.",House of Representatives District 75,Won,Won,Republican,Paris,No,2020,
"Gupton, Jr., James Ebb","Gupton, Jr., James Ebb",House of Representatives District 78,Lost,Lost,Republican,Ashland City,No,2020,
"Halford, Curtis","Halford, Curtis",House of Representatives District 79,Won,Won,Republican,Dyer,No,2020,
"Hall, Mark","Hall, Mark",House of Representatives District 24,Won,Won,Republican,Cleveland,No,2020,
"Harrell, Bobby Patrick","Harrell, Bobby Patrick",House of Representatives District 4,Lost,Won,Democrat,Elizabethton,No,2020,
"Hart, James","Hart, James",House of Representatives District 75,Lost,Won,Independent,Buchanan,No,2020,
"Hawks, David","Hawks, David",House of Representatives District 76,Lost,Lost,Republican,Martin,No,2020,
"Hill, Matthew","Hill, Matthew",House of Representatives District 7,Lost,Lost,Republican,Blountville,No,2020,
"Hodges, Jason","Hodges, Jason",House of Representatives District 67,Won,Won,Democrat,Clarksville,No,2020,
"Holden, Ronnie","Holden, Ronnie",House of Representatives District 47,Lost,Lost,Republican,Gruetli-Laager,No,2020,
"Holt, Andrew","Holt, Andrew",House of Representatives District 76,Lost,Lost,Republican,Dresden,No,2020,
"Hood, Casey","Hood, Casey",Senate District 24,Lost,Lost,Republican,Obion,No,2020,
"Hooks, George M. ""Mike""","Hooks, George M. ""Mike""",House of Representatives District 32,Lost,Lost,Republican,Kingston,No,2020,
"Johnson, Andrea Bond","Johnson, Andrea Bond",House of Representatives District 82,Lost,Won,Democrat,Brownsville,No,2020,
"Johnson, Brandon","Johnson, Brandon",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2020,
"Johnson, Eddie","Johnson, Eddie",House of Representatives District 69,Lost,Lost,Democrat,Bon Aqua,No,2020,
"Johnson, Melanie","Johnson, Melanie",House of Representatives District 22,Lost,Lost,Republican,Oldfort,No,2020,
"Jones, Daniel","Jones, Daniel",House of Representatives District 24,Lost,Won,Democrat,Cleveland,No,2020,
"Jones, Troy B.","Jones, Troy B.",House of Representatives District 15,Lost,Won,Independent,Knoxville,No,2020,
"Kabir, Ovi","Kabir, Ovi",House of Representatives District 15,Lost,Lost,Democrat,New York,No,2020,
"Keeling, Kari","Keeling, Kari",House of Representatives District 89,Lost,Won,Independent,Knoxville,No,2020,
"Kerney, Neal","Kerney, Neal",House of Representatives District 3,Lost,Lost,Republican,Mountain City,No,2020,
"Kraus, Joshua","Kraus, Joshua",House of Representatives District 77,Lost,Lost,Republican,Dyersburg,No,2020,
"Lapides, Bennett H.","Lapides, Bennett H.",House of Representatives District 12,Lost,Won,Democrat,Gatlinburg,No,2020,
"Lejong-Mccash, Delynn","Lejong-Mccash, Delynn",House of Representatives District 17,Lost,Won,Democrat,Jefferson City,No,2020,
"Lingerfelt, Tim","Lingerfelt, Tim",House of Representatives District 4,Lost,Lost,Republican,Erwin,No,2020,
"Love, Jr., Arvil","Love, Jr., Arvil",House of Representatives District 2,Lost,Won,Democrat,Kingsport,No,2020,
"Lowery, Jerry","Lowery, Jerry",House of Representatives District 43,Lost,Lost,Republican,Sparta,No,2020,
"Madeira, Elizabeth","Madeira, Elizabeth",House of Representatives District 63,Lost,Won,Democrat,Franklin,No,2020,
"Mannis, Eddie","Mannis, Eddie",House of Representatives District 18,Won,Won,Republican,Knoxville,No,2020,
"Mark, Mike","Mark, Mike",Senate District 12,Lost,Lost,Independent,Harriman,No,2020,
"Martinez, Coleen","Martinez, Coleen",House of Representatives District 89,Lost,Lost,Democrat,Knoxville,No,2020,
"Mcmahan, John","Mcmahan, John",House of Representatives District 76,Lost,Lost,Republican,Union City,No,2020,
"Medeiros, Grant","Medeiros, Grant",House of Representatives District 60,Lost,Lost,Democrat,Nashville,No,2020,
"Miller-Watkins, Civil","Miller-Watkins, Civil",Senate District 26,Lost,Won,Democrat,Bolivar,No,2020,
"Mills, Greg","Mills, Greg",House of Representatives District 89,Lost,Won,Independent,Knoxville,No,2020,
"Mills, Lee","Mills, Lee",House of Representatives District 99,Lost,Lost,Republican,Bartlett,No,2020,
"Minnis, Michael","Minnis, Michael",House of Representatives District 93,Lost,Lost,Democrat,Memphis,No,2020,
"Mitchell, Cassandra (Cj)","Mitchell, Cassandra (Cj)",House of Representatives District 36,Lost,Won,Democrat,Heiskell,No,2020,
"Montez Turnley, Jarvus","Montez Turnley, Jarvus",House of Representatives District 66,Lost,Won,Democrat,Springfield,No,2020,
"Ogles, Brandon","Ogles, Brandon",House of Representatives District 61,Won,Won,Republican,Franklin,No,2020,
"Olsen, Marty","Olsen, Marty",House of Representatives District 6,Lost,Lost,Republican,Johnson City,No,2020,
"Oster, Gina","Oster, Gina",House of Representatives District 18,Lost,Lost,Republican,Knoxville,No,2020,
"Overbey, Doug","Overbey, Doug",Senate District 2,Lost,Lost,Republican,Maryville,No,2020,
"Park, Matthew","Park, Matthew",House of Representatives District 15,Lost,Lost,Democrat,Knoxville,No,2020,
"Parker, Anya","Parker, Anya",House of Representatives District 90,Lost,Lost,Democrat,Memphis,No,2020,
"Phillips, Mariah","Phillips, Mariah",House of Representatives District 37,Lost,Won,Democrat,Murfreesboro,No,2020,
"Possel, Patricia","Possel, Patricia",House of Representatives District 96,Lost,Won,Republican,Memphis,No,2020,
"Potts, Jason","Potts, Jason",House of Representatives District 59,Won,Won,Democrat,Nashville,No,2020,
"Powell-Dennis, Ruby","Powell-Dennis, Ruby",House of Representatives District 97,Lost,Lost,Democrat,Cordova,No,2020,
"Priestley, Keith","Priestley, Keith",House of Representatives District 76,Lost,Lost,Republican,Mckenzie,No,2020,
"Primer, Dominique","Primer, Dominique",House of Representatives District 84,Lost,Lost,Democrat,Memphis,No,2020,
"Ramsey, Robert (Bob)","Ramsey, Robert (Bob)",House of Representatives District 20,Won,Won,Republican,Maryville,No,2020,
"Rice, Christi M.","Rice, Christi M.",House of Representatives District 71,Lost,Lost,Democrat,Waynesboro,No,2020,
"Riddle, Amber","Riddle, Amber",Senate District 4,Lost,Won,Democrat,Kingsport,No,2020,
"Robinson, Bobby","Robinson, Bobby",House of Representatives District 43,Lost,Lost,Republican,Sparta,No,2020,
"Robinson, Zipporah","Robinson, Zipporah",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2020,
"Rowland, Elizabeth","Rowland, Elizabeth",House of Representatives District 16,Lost,Lost,Democrat,Knoxville,No,2020,
"Salinas, Gabby","Salinas, Gabby",House of Representatives District 97,Lost,Won,Democrat,Memphis,No,2020,
"Sanderson, Bill","Sanderson, Bill",House of Representatives District 77,Lost,Lost,Republican,Kenton,No,2020,
"Scruggs, Glenn","Scruggs, Glenn",Senate District 10,Lost,Won,Democrat,Chattanooga,No,2020,
"Sexton, Jerry","Sexton, Jerry",House of Representatives District 35,Won,Won,Republican,Bean Station,No,2020,
"Sizemore, Patrick","Sizemore, Patrick",House of Representatives District 40,Lost,Won,Independent,Carthage,No,2020,
"Smith, Catrina","Smith, Catrina",House of Representatives District 90,Lost,Lost,Democrat,Memphis,No,2020,
"Smith, Robin","Smith, Robin",House of Representatives District 26,Won,Won,Republican,Hixson,No,2020,
"Sneed, Susan","Sneed, Susan",House of Representatives District 20,Lost,Won,Democrat,Maryville,No,2020,
"Sottek, Tom","Sottek, Tom",House of Representatives District 57,Lost,Won,Independent,Lebanon,No,2020,
"Spann, Holly","Spann, Holly",House of Representatives District 78,Lost,Won,Democrat,Ashland City,No,2020,
"Sparks, Dean","Sparks, Dean",House of Representatives District 31,Lost,Won,Democrat,Spring City,No,2020,
"Staples, Rick","Staples, Rick",House of Representatives District 15,Lost,Lost,Democrat,Knoxville,No,2020,
"Stephenson, Jeremy Allen","Stephenson, Jeremy Allen",House of Representatives District 12,Lost,Lost,Independent,Seymour,No,2020,
"Stewart, Mike","Stewart, Mike",House of Representatives District 52,Won,Won,Democrat,Nashville,No,2020,
"Stewart, Tre","Stewart, Tre",House of Representatives District 62,Lost,Won,Independent,Wartrace,No,2020,
"Stockton, Clifford","Stockton, Clifford",House of Representatives District 97,Lost,Lost,Democrat,Cordova,No,2020,
"Talley, Damien","Talley, Damien",House of Representatives District 49,Lost,Lost,Democrat,Lavergne,No,2020,
"Tees, Donna","Tees, Donna",House of Representatives District 52,Lost,Won,Republican,Nashville,No,2020,
"Templeton, Jai","Templeton, Jai",Senate District 26,Lost,Lost,Republican,Stantonville,No,2020,
"Thomas, Brandon","Thomas, Brandon",House of Representatives District 49,Lost,Won,Democrat,Murfreesboro,No,2020,
"Thompson, Charles A.","Thompson, Charles A.",House of Representatives District 98,Lost,Lost,Democrat,Memphis,No,2020,
"Throckmorton, Scott","Throckmorton, Scott",Senate District 32,Lost,Lost,Republican,Collierville,No,2020,
"Tillis, Thomas R.","Tillis, Thomas R.",House of Representatives District 92,Lost,Lost,Republican,Lewisburg,No,2020,
"Tinsley, Luke","Tinsley, Luke",House of Representatives District 40,Lost,Lost,Republican,Hendersonville,No,2020,
"Tracy, Jim","Tracy, Jim",Senate District 14,Lost,Lost,Republican,Nashville,No,2020,
"Trusty, James R.","Trusty, James R.",Senate District 28,Lost,Won,Independent,Collinwood,No,2020,
"Turner, Ii, James C.","Turner, Ii, James C.",House of Representatives District 52,Lost,Lost,Democrat,Antioch,No,2020,
"Udeaja, Joseph","Udeaja, Joseph",House of Representatives District 30,Lost,Lost,Democrat,Chattanooga,No,2020,
"Van Huss, Micah","Van Huss, Micah",House of Representatives District 6,Lost,Lost,Republican,Gray,No,2020,
"Vandever, William","Vandever, William",House of Representatives District 21,Lost,Lost,Independent,Madisonville,No,2020,
"Vannoy, Jennifer","Vannoy, Jennifer",House of Representatives District 34,Lost,Lost,Democrat,Murfreesboro,No,2020,
"Vaughn, Mary R.","Vaughn, Mary R.",House of Representatives District 34,Lost,Won,Democrat,Murfreesboro,No,2020,
"Ward, Casey","Ward, Casey",House of Representatives District 61,Lost,Lost,Democrat,Franklin,No,2020,
"Warrington, Christine","Warrington, Christine",House of Representatives District 79,Lost,Lost,Republican,Humboldt,No,2020,
"Washburn, Jeffery T.","Washburn, Jeffery T.",House of Representatives District 76,Lost,Won,Independent,Dresden,No,2020,
"Weaver, Terri Lynn","Weaver, Terri Lynn",House of Representatives District 40,Won,Won,Republican,Lancaster,No,2020,
"Weise, Brandon","Weise, Brandon",House of Representatives District 97,Lost,Lost,Republican,Bartlett,No,2020,
"Welch, Garry","Welch, Garry",House of Representatives District 71,Lost,Lost,Republican,Savannah,No,2020,
"West, Ty","West, Ty",House of Representatives District 4,Lost,Lost,Republican,Johnson City,No,2020,
"White, Rob","White, Rob",House of Representatives District 86,Lost,Won,Republican,Memphis,No,2020,
"Wildridge, Gordon D.","Wildridge, Gordon D.",House of Representatives District 72,Lost,Lost,Republican,Lexington,No,2020,
"Williams, Jr., Marion Latroy A.","Williams, Jr., Marion Latroy A.",Senate District 30,Lost,Lost,Democrat,Memphis,No,2020,
"Williams, Jr., Orrden","Williams, Jr., Orrden",House of Representatives District 88,Lost,Lost,Democrat,Memphis,No,2020,
"Williams, Lynnette P.","Williams, Lynnette P.",House of Representatives District 95,Lost,Won,Democrat,Memphis,No,2020,
