Original-donor-name,Company-affiliated-name,Bought out/name change
Ky/Tn Section Ofamerican Water Works Assn. Ky/Tn Section,American Water Works Association,
"Lawler Wood Housing Partners, Llc",Lawler Wood Housing Partners,
Lawler-Wood Housing Llc,Lawler Wood Housing Partners,
"Lawson, Janet",Phil Lawson and family (Knoxville),
"Lawson, Phil",Phil Lawson and family (Knoxville),
"Lawson, Philip",Phil Lawson and family (Knoxville),
"Lawson, Phillip",Phil Lawson and family (Knoxville),
"Lawson, Phillip O",Phil Lawson and family (Knoxville),
Lawyers Involved For Tn,Tennessee Trial Lawyers Association,
Lifepoint Health,Lifepoint Health,
Lifepoint Health Pac,Lifepoint Health,
Lifepoint Health Support Center,Lifepoint Health,
Lifepoint Hospital Support Center,Lifepoint Health,
Lifepoint Hospitals,Lifepoint Health,
Lifepoint Tennessee Pac,Lifepoint Health,
Livanova,Live Nation - Ticketmaster,
Live Nation Entertainment,Live Nation - Ticketmaster,
"Live Nation Entertainment, Inc.",Live Nation - Ticketmaster,
Lkq Corp,LKQ Corp,
Lkq Corporation,LKQ Corp,
Lkq Corporation Employee Good Govt. Fund,LKQ Corp,
Lkq Corporation/Keystone Automotive Industries,LKQ Corp,
Luxottica Of America Inc. Dba Lenscrafters/Pearl Vision,Lenscrafters,
Luxottica Retail North America Dba Lenscrafters/Pearl Vision,Lenscrafters,
Luxottica Retail North America/Lenscrafters/Pearl Vision,Lenscrafters,
"Magellan Health Services, Inc.",Magellan Health Services,
"Magellan Health, Inc.",Magellan Health Services,
Marathon Petroleum Company Llc,Marathon,
Marathon Petroleum Corporation And Its Subsidiaries,Marathon,
"Marsy'S Law For All, Llc",Marsy's Law For All,
Maximus,Maximus,
"Maximus, Inc.",Maximus,
"Mcnabb, Garry",Garry McNabb and Family (Cookeville),
"Mcnabb, Gary",Garry McNabb and Family (Cookeville),
"Mcnabb, Jonathan",Garry McNabb and Family (Cookeville),
"Mcnabb, Kathryn",Garry McNabb and Family (Cookeville),
"Medco Health Solutions, Inc.",Medco Health Solutions,
"Medco Health Solutions, Inc. & Affiliates",Medco Health Solutions,
Medimmune,Medimmune,
"Medimmune, Llc",Medimmune,
Mednax Health Solutions Partner,Mednax Health Solutions Partner,
Mednax National Medical Group,Mednax Health Solutions Partner,
Medtronic Inc,Medtronic,
Medtronic Neuromodulation,Medtronic,
Medtronic Spinal And Biological,Medtronic,
"Medtronic, Inc.",Medtronic,
Meharry Medical College,Meharry Medical College,
Merck & Co,Merck,
Merck & Co.,Merck,
Merck & Co. Inc.,Merck,
Merck & Co. Inc. Employees Pac,Merck,
"Merck & Co., Inc.",Merck,
Merck Corp.,Merck,
Merck Sharp & Dohme,Merck,
Merck Sharp & Dohme  Corp,Merck,
Merck Sharp & Dohme Corp,Merck,
Merck Sharp & Dohme Corp.,Merck,
Merck Sharp & Dohme Corporation And Its Affiliates,Merck,
Merck Sharp & Dohme Llc,Merck,
Merck Sharp & Dohme Llc.,Merck,
Methodist Le Bonheur Healthcare,Methodist Le Bonheur Healthcare,
Metroplolitan Knoxville Airport Authority,Metroplolitan Knoxville Airport Authority,
Metropolitan Knoxville Airport Authority,Metroplolitan Knoxville Airport Authority,
Millennium Laboratories,Millennium Laboratories,
"Millennium Laboratories, Llc",Millennium Laboratories,
Mills,Olan Mills and family (Chattanooga),
"Mills , Olan",Olan Mills and family (Chattanooga),
"Mills , Sharon",Olan Mills and family (Chattanooga),
"Mills Ii, Olan",Olan Mills and family (Chattanooga),
"Mills Ii, Olan W.",Olan Mills and family (Chattanooga),
"Mills, Allison",Olan Mills and family (Chattanooga),
"Mills, Brent",Olan Mills and family (Chattanooga),
"Mills, Ii, Olan",Olan Mills and family (Chattanooga),
"Mills, Iii, Olan",Olan Mills and family (Chattanooga),
"Mills, James",Olan Mills and family (Chattanooga),
"Mills, James O.",Olan Mills and family (Chattanooga),
"Mills, Jay",Olan Mills and family (Chattanooga),
"Mills, Jennifer",Olan Mills and family (Chattanooga),
"Mills, Julie",Olan Mills and family (Chattanooga),
"Mills, Kincaid",Olan Mills and family (Chattanooga),
"Mills, Norma",Olan Mills and family (Chattanooga),
"Mills, Olan",Olan Mills and family (Chattanooga),
"Mills, R. Kincaid",Olan Mills and family (Chattanooga),
"Mills, Robert",Olan Mills and family (Chattanooga),
"Mills, Robert Kincaid",Olan Mills and family (Chattanooga),
"Mills, Roberts",Olan Mills and family (Chattanooga),
"Mills, Sharon",Olan Mills and family (Chattanooga),
Motion Picture Association Of America,Motion Picture Association of America,
"Motion Picture Association, Inc.",Motion Picture Association of America,
Motorola Inc. Pac,Motorola,
Motorola Solutions,Motorola,
"Motorola Solutions, Inc.",Motorola,
"Motorola Solutions, Inc. ",Motorola,
"Motorola Solutions, Inc. Pac",Motorola,
Mountain States Health Alliance,Ballad Health,
Mountain States Health Alliance ,Ballad Health,
Music City Center,Nashville Convention and Visitors Bureau,
Muzology,Muzology,
"Muzology, Llc",Muzology,
Nashville Area Chamber Of Commerce,Nashville Area Chamber of Commerce,
Nashville Business Coalition,Nashville Area Chamber of Commerce,
Nashville Convention & Visitors Bureau,Nashville Convention and Visitors Bureau,
Nashville Convention And Visitors Bureau,Nashville Convention and Visitors Bureau,
"Nashville Hockey Club, Lp D/B/A Nashville Predators",Nashville Predators,
Nashville Transportainment Assocation Inc,Nashville Transportainment Association,
Nashville Transportainment Association,Nashville Transportainment Association,
Nat'L Fed. Of Independent Business Tennessee Pac,National Federation of Independent Business,
Nat'L Health Corp. Pac,National Healthcare Corp.,
Nat'L Rifle Assn Political Action Victory Fund,NRA,
National College,National College,
National College Of Business & Technology,National College,
National Federation Of Independent Business,National Federation of Independent Business,
National Guard Assn. Of Tn Insurance Trust,National Guard Insurance Trust,
National Guardian Life Insurance Co,National Guard Insurance Trust,
National Healthcare Corp.,National Healthcare Corp.,
National Popular Vote,National Popular Vote Initiative,
National Popular Vote Initiative,National Popular Vote Initiative,
Neighborhood Health,Neighborhood Health,
Neighborhood Heatth,Neighborhood Health,
Neo Philanthropy Inc,NEO Philanthropy,
"Neo Philanthropy, Inc.",NEO Philanthropy,
Neurorestorative Tennessee,Neurorestorative Tennessee,
"Neurorestorative, The Mentor Network",Neurorestorative Tennessee,
Nissan,Nissan,
Nissan North America,Nissan,
Nissan North America Inc.,Nissan,
Norfolk Southern Corp.,Norfolk Southern,
Norfolk Southern Corporation,Norfolk Southern,
Novartis,Novartis,
Novartis Corporate,Novartis,
Novartis Pac,Novartis,
Novartis Pharmaceuticals,Novartis,
Novartis Pharmaceuticals Corp,Novartis,
Novartis Pharmaceuticals Corp.,Novartis,
Novartis Pharmaceuticals Corporation,Novartis,
"Novartis Services, Inc.",Novartis,
Novartis Vaccines,Novartis,
Novartis Vaccines And Diagnostics,Novartis,
Novo Nordisk Inc.,Novo Nordisk ,
"Novo Nordisk, Inc.",Novo Nordisk ,
Olan Mills,Olan Mills and family (Chattanooga),
Olan Mills Ii,Olan Mills and family (Chattanooga),
Oracle,Oracle,
"Oracle America, Inc.",Oracle,
"Oracle Usa, Inc.",Oracle,
Outdoor Advertising Of Tennessee,Outdoor Advertising of Tennessee,
Outdoor Advertising Of Tn,Outdoor Advertising of Tennessee,
Outdoor Pac Of Tn,Outdoor Advertising of Tennessee,
Pac-Able Tennessee,Tennessee Broadband Association - Telecommunications Association,
Pearson Education Inc.,Pearson Education ,
Pearson Inc.,Pearson Education ,
Pearson North America,Pearson Education ,
Permobil,Permobil,
"Permobil, Inc.",Permobil,
Permopac,Permobil,
Pfizer,Pfizer,
Pfizer Inc.,Pfizer,
Pfizer Inc. Pac,Pfizer,
Pharmaceutical Research And Manufacturers Of America  (Phrma),Pharmaceutical Research And Manufacturers of America,
Phrma,Pharmaceutical Research And Manufacturers of America,
Phrma Tennessee Pac,Pharmaceutical Research And Manufacturers of America,
Piedmont Natural Gas,Piedmont Natural Gas,
Pilot Corp.,Pilot Flying J,
Planned Parenthood,Planned Parenthood,
Planned Parenthood Greater Memphis Region,Planned Parenthood,
Planned Parenthood Of Middle And East Tn,Planned Parenthood,
Planned Parenthood Tennessee Action Fund,Planned Parenthood,
Plumbers & Pipefitters Education Committee,Plumbers & Pipefitters Union,
Plumbers & Pipefitters Local 572,Plumbers & Pipefitters Union,
Polaris Inc.,Polaris ,
Polaris Industries,Polaris ,
Powers Management L.L.C.,Powers Management,
"Powers Management, Llc.",Powers Management,
"Predators Holdings, Llc",Nashville Predators,
"Psalms, Inc.",Retirement Companies of America,
Public Consulting Group,Public Consulting Group,
Public Consulting Group Llc,Public Consulting Group,
Public Entity Partners,Public Entity Partners,
Public Service Employees Local Union 572,Service Employees International Union,
Qk4,Qk4,
Quest Diagnostics Incorporated,Quest Diagnostics,
Quest Pac,Quest Diagnostics,
Rai Services Company,Reyonds American,
Recording Industries Ass,Recording Industry Association of America,
Recording Industries Assn Of America,Recording Industry Association of America,
Recording Industries Association Of America,Recording Industry Association of America,
Recording Industry Assoc Of America,Recording Industry Association of America,
Recording Industry Assoc. Of America,Recording Industry Association of America,
Recording Industry Assocation,Recording Industry Association of America,
Recording Industry Association Of Americ,Recording Industry Association of America,
"Redflex Traffic Systems, Inc.",Verra Mobility,
"Redflex Traffic Systems, Inc. C/O Verra Mobility",Verra Mobility,
Regional Medical Center At Memphis,Regional One Health,
Regional One Health,Regional One Health,
Remington College,Remington College,
"Remington College - Memphis Campus, Inc.",Remington College,
"Remington Colleges, Inc.",Remington College,
Republic Services Inc.,Republic Services,
Republic Services Inc. Emp For Better Govt. Pac,Republic Services,
Republic Services Inc. Emp For Better Govt. Pac Tn,Republic Services,
Republican Governors Association,Republican Governors Association,
Republican Governors Pac,Republican Governors Association,
Retirement Campanies Of America Llc,Retirement Companies of America,
Retirement Companies Of America,Retirement Companies of America,
Retirement Companies Of America Llc,Retirement Companies of America,
"Retirement Companies Of America, Llc",Retirement Companies of America,
Reyonds American,Reyonds American,
"Riaa, Recording Industry Assn. Of America",Recording Industry Association of America,
"Robert, Mills",Olan Mills and family (Chattanooga),
Roche Diagnostics Corporation,SAS Institute ,
Rocketship Education,Rocketship Education,
Rocketship Public Schools,Rocketship Education,
Rogers Group,Rogers Group,
Rogers Group Inc. Pac,Rogers Group,
"Rogers Group, Inc",Rogers Group,
Roundtower Technologies Llc,Roundtower Technologies,
"Roundtower Technologies, Llc",Roundtower Technologies,
"Rreef America, Llc",Rreef America,
"Rreef Americas, Llc",Rreef America,
Rural Health Association Of Tennessee,Rural Health Association of Tennessee,
Rw Armstrong,RW Armstrong,
Rw Armstrong Wholey Owned Subsidiary Of Cha,RW Armstrong,
Ryman Hospitality Properties Pac,Ryman Hospitality,
"Ryman Hospitality Properties, Inc.",Ryman Hospitality,
"Sampson, George","Sampson, George",
"Sampson, George B.","Sampson, George",
"Sampson, George W.","Sampson, George",
Sanofi Pasteur,Sanofi-Aventis,
Sanofi Us,Sanofi-Aventis,
Sanofi-Aventis,Sanofi-Aventis,
Sas Institute Inc.,SAS Institute ,
Savvas Learning Company Llc,Pearson Education ,
"Savvas Learning Company Llc, Formerly Known As Pearson K12 Learning Ll",Pearson Education ,
Sazerac Company,Sazerac Company,
"Sazerac Company, Inc.",Sazerac Company,
"Sci Tn Funeral Services, Llc",SCI Tennessee Funeral Services,
Scientific Games Corporation,Scientific Games,
Scientific Games International,Scientific Games,
"Scientific Games, Inc.",Scientific Games,
Scripps Networks Interactive,Scripps Networks Interactive,
Securities Industry & Financial Markets Assn.,Securities Industry And Financial Markets Association,
Securities Industry And Financial Markets Association,Securities Industry And Financial Markets Association,
Seiu Local 205,Service Employees International Union,
Seiu Pac,Service Employees International Union,
Sellers Dorsey,"Sellers, Dorsey & Associates",
"Sellers, Dorsey & Associates, Llc","Sellers, Dorsey & Associates",
Service Employee International Union Local 205,Service Employees International Union,
Service Employees International Union,Service Employees International Union,
Service Employees Local 205 Cope Acct.,Service Employees International Union,
"Servpro Industries, Inc.",Servpro Industries,
"Servpro Industries, Llc",Servpro Industries,
Shire,Shire Us,
"Shire Us, Inc.",Shire Us,
"Signature Healthcare Consulting Services, Llc",Signature Healthcare Consulting Services,
"Signature Healthcare, Llc",Signature Healthcare Consulting Services,
South College,South College,
Southern Alliance For Clean Energy Action Fund,Southern Wind Energy Assocation,
Southern Alliance For Clean Energy D/B/A Southern Wind Energy Assocation,Southern Wind Energy Assocation,
Southern Company Gas,Southern Company Gas,
Southern Company Gas Tennessee,Southern Company Gas,
Southern Company Gas Tennessee Pac,Southern Company Gas,
Sprint Corporation,Sprint,
Sprint/Nextel,Sprint,
Stand For Children,Stand For Children,
Stand Pac Of Tennessee,Stand For Children,
State Farm,State Farm,
State Farm Mutual Auto Ins. Co.,State Farm,
"Stride, Inc, Formerly Known As K12 Inc",K12 Inc,
Students First,TennesseeCan,
Studentsfirst,TennesseeCan,
Swedish Match North America,Swedish Match,
Swedish Match North America Llc,Swedish Match,
Takeda Pharmaceuticals America,Takeda Pharmaceuticals America,
"Takeda Pharmaceuticals America, Inc.",Takeda Pharmaceuticals America,
"Tax Management Associates, Inc.",Tax Management Associates,
Tea-Fcpe Tennessee Education Association,Tennessee Education Association,
Team Kid Pac,Tennesseans for Student Success,
"Teladoc Health, Inc.",Teladoc Health,
"Teladoc, Inc.",Teladoc Health,
Tenneseans For Putting Students First,TennesseeCan,
Tennesse State Council-Seiu,Service Employees International Union,
Tennessean'S For Quality Early Education,Tennessean's For Quality Early Education,
Tennessean'S For Quality Early Education - Tn Advocates For Early Learning Pac,Tennessean's For Quality Early Education,
Tennesseans For Putting Students First,TennesseeCan,
"Tennesseans For Student Success, Llc",Tennesseans for Student Success,
"Tennesseans For Student Success, Llc - Team Kid Pac",Tennesseans for Student Success,
Tennesseans For Transit,Tennessee Public Transportation Association,
Tennessee Academy Of Physician Assistants,Tennessee Academy of Physician Assistants,
Tennessee Action Committee For Rural Electrification,Tennessee Electric Cooperative Association,
Tennessee Advocates For Planned Parenthood,Planned Parenthood,
"Tennessee Advocates For Planned Parenthood, Inc.",Planned Parenthood,
Tennessee Alliance For Legal Services,Tennessee Alliance For Legal Services,
Tennessee American Water,Tennessee American Water,
Tennessee Anesthesiologists Pac,Tennessee Society of Anesthesiologists,
Tennessee Apartment Association,Tennessee Apartment Association,
Tennessee Apartment Pac,Tennessee Apartment Association,
Tennessee Architects Pac,AIA Tennessee,
Tennessee Assn Of Nurse Anesthetists Pac,Tennessee Association of Nurse Anesthetists,
Tennessee Association Of Assessing Officers,Tennessee Association of Assessing officers,
Tennessee Association Of Nurse Anesthetists,Tennessee Association of Nurse Anesthetists,
Tennessee Association Of Professional Bail Agents - Tennessee Volunteer Pac,Tennessee Association of Professional Bail Agents,
Tennessee Association Of Realtors,Tennessee Association of Realtors,
Tennessee Association Of Realtors - Tennessee Realtors Pac,Tennessee Association of Realtors,
Tennessee Automotive Association - Concerned Automotive Retailers Pac,Tennessee Automotive Association,
Tennessee Bankers Assn Pac,Tennessee Bankers Association,
Tennessee Bankers Association,Tennessee Bankers Association,
Tennessee Bar Association,Tennessee Bar Association,
Tennessee Broadband Communications Council/Tennessee Fiber Optic Communities,Tennessee Broadband Communications Council - Tennessee Fiber Optic Communities,
Tennessee Business Roundtable,Tennessee Business Roundtable,
Tennessee Certified Public Accountants Pac,Tennessee Society of Certified Public Accountants,
Tennessee Chamber Of Commerce & Industry,Tennessee Chamber of Commerce & Industry,
Tennessee Chamber Of Commerce And Industry Pac,Tennessee Chamber of Commerce & Industry,
Tennessee Charter School Association,Tennessee Charter School Center,
Tennessee Charter School Center,Tennessee Charter School Center,
Tennessee Chiropractic Assn Pac,Tennessee Chiropractic Association,
Tennessee Chiropractic Association,Tennessee Chiropractic Association,
Tennessee Construction Coalition,Tennessee Construction Coalition,
Tennessee Consumer Finance Association,Tennessee Consumer Finance Association,
Tennessee Consumer Finance Association And Tn Consumer Finance Assn.,Tennessee Consumer Finance Association,
Tennessee Consumer Finance Political Campaign Committe,Tennessee Consumer Finance Association,
Tennessee County Commissioners Association,Tennessee County Commissioners Association,
Tennessee County Highway Officials Association,Tennessee County Highway officials Association,
Tennessee County Services Association,Tennessee County Services Association,
Tennessee Credit Union League,Tennessee Credit Union League,
Tennessee Credit Union League Pac,Tennessee Credit Union League,
Tennessee Dental Association,Tennessee Dental Association,
Tennessee Dental Pac,Tennessee Dental Association,
Tennessee Educ Assn Fund For Children & Public Edu,Tennessee Education Association,
Tennessee Education Association,Tennessee Education Association,
Tennessee Education Association Pac,Tennessee Education Association,
Tennessee Electric Cooperative Association,Tennessee Electric Cooperative Association,
Tennessee Employees Action Movement,Tennessee State Employees Association,
Tennessee Farm Bureau Federation,Tennessee Farm Bureau Federation,
Tennessee Farm Winegrowers Alliance,Tennessee Farm Winegrowers Alliance,
Tennessee Farmers Insurance Co.,Tennessee Farmers Insurance Co.,
Tennessee Farmwinegrowers Alliance,Tennessee Farm Winegrowers Alliance,
Tennessee Federation For Children,Tennessee Federation For Children,
Tennessee Federation For Children Pac,Tennessee Federation For Children,
Tennessee First,Advance Financial/Advance America/Community Choice Financial,
"Tennessee Football, Inc.",Tennessee Titans,
Tennessee Forestry Association,Tennessee Forestry Association,
Tennessee Forestry Pac,Tennessee Forestry Association,
Tennessee Fuel & Convenience Store Assoc,Tennessee Fuel & Convenience Store Association,
Tennessee Fuel & Cstore Assoc.,Tennessee Fuel & Convenience Store Association,
Tennessee Grocers & Convenience Store Association,Tennessee Fuel & Convenience Store Association,
Tennessee Grocers & Convenience Store Pac,Tennessee Fuel & Convenience Store Association,
Tennessee Grocers And Convenience Store,Tennessee Grocers & Convenience Store Association,
Tennessee Group Practice Coalition,Tennessee Group Practice Coalition,
Tennessee Grower'S Coalition,Tennessee Grower's Coalition,
Tennessee Growers Coalition,Tennessee Grower's Coalition,
Tennessee Health Care Assn Pac,Tennessee Health Care Association,
Tennessee Health Care Association - Tennessee Health Care Assn Pac,Tennessee Health Care Association,
Tennessee Highway Contractors Pac,Tennessee Road Builders Association,
Tennessee Hospital Association (Tha),Tennessee Hospital Association,
Tennessee Hospitality & Tourism Association,Tennessee Hospitality & Tourism Association,
Tennessee Hospitality Pac,Tennessee Hospitality & Tourism Association,
Tennessee Independent Finance Association,Tennessee Independent Finance Association,
Tennessee Infrastructure Alliance,Tennessee Infrastructure Alliance,
Tennessee Installment Lenders Association Pac,Tennessee Installment Lenders Association,
Tennessee Lifepoint Hospitals Pac,Lifepoint Health,
Tennessee Malt Beverage Association,Tennessee Malt Beverage Association,
Tennessee Manufactured Housing Assn Pac,Tennessee Manufactured Housing Association,
Tennessee Manufactured Housing Association (Tmha),Tennessee Manufactured Housing Association,
Tennessee Medical Association,Tennessee Medical Association,
Tennessee Medical Association√≠S Pac,Tennessee Medical Association,
Tennessee Medical Associationís Pac,Tennessee Medical Association,
Tennessee Mining Association,Tennessee Mining Association,
Tennessee Municipal Electric Power Association,Tennessee Municipal Electric Power Association,
Tennessee Municipal League,Tennessee Municipal League,
Tennessee Natural Resources Development Pac,Tennessee Oil And Gas Association,
Tennessee Nurses Association,Tennessee Nurses Association,
Tennessee Nurses Pac,Tennessee Nurses Association,
Tennessee Oil And Gas Association - Tennessee Natural Resources Development Pac,Tennessee Oil And Gas Association,
Tennessee Oil Marketers Pac,Tennessee Fuel & Convenience Store Association,
Tennessee Oncology Practice Society,Tennessee Oncology Practice Society,
Tennessee Optometric Pac,Tennessee Association of Optometric Physicians,
Tennessee Optometrists Pac,Tennessee Association of Optometric Physicians,
Tennessee Organization Of School Superintendents,Tennessee Organization of School Superintendents,
Tennessee Parents/Teachers Putting Students First,TennesseeCan,
Tennessee Physical Therapy Pac,Tennessee Physical Therapy Association,
Tennessee Press Association,Tennessee Press Association,
Tennessee Public And Teaching Hospital Association,Tennessee Public and Teaching Hospital Association,
Tennessee Public Television Council,Tennessee Public Television Council,
Tennessee Public Transportation Association - Tennesseans For Transit,Tennessee Public Transportation Association,
Tennessee Realtors Pac,Tennessee Association of Realtors,
Tennessee Retail Association,Tennessee Retail Association,
Tennessee Retail Association Pac,Tennessee Retail Association,
Tennessee Reynolds American Inc. Pac,Reyonds American,
Tennessee Road Builders Association - Tennessee Highway Contractors Pac,Tennessee Road Builders Association,
Tennessee Rpac,Tennessee Association of Realtors,
Tennessee Rural Cooperative Communications Association,Tennessee Rural Cooperative Communications Association,
Tennessee School Boards Association,Tennessee School Boards Association,
Tennessee School Systems For Equity,Tennessee School Systems For Equity,
Tennessee Secondary School Athletic Association,Tennessee Secondary School Athletic Association,
Tennessee Society Of Anesthesiologists,Tennessee Society of Anesthesiologists,
Tennessee Society Of Certified Public Accountants - Tennessee Certified Public Accountants Pac,Tennessee Society of Certified Public Accountants,
Tennessee State Collaborative On Reforming Education,Tennessee State Collaborative On Reforming Education (SCORE),
Tennessee State Council - Seiu,Service Employees International Union,
Tennessee State Council-Seiu,Service Employees International Union,
Tennessee State Employees Association,Tennessee State Employees Association,
Tennessee Telecommunications Association D/B/A Tennessee Broadband Association,Tennessee Broadband Association - Telecommunications Association,
Tennessee Telecommunications Association/Tennessee Broadband Association,Tennessee Broadband Association - Telecommunications Association,
Tennessee Telpac,Tennessee Broadband Association - Telecommunications Association,
Tennessee Titans - 1St&Tenn Political Action Committee,Tennessee Titans,
Tennessee Trial Lawyers Association/Tennessee Association For Justice - Lawyers Involved For Tennessee,Tennessee Trial Lawyers Association,
Tennessee Truck Pac,Tennessee Trucking Association,
Tennessee Trucking Association,Tennessee Trucking Association,
Tennessee Utilities Pac,Tennessee Association of Utility Districts,
Tennessee Valley Public Power,Tennessee Valley Public Power Association,
Tennessee Valley Public Power Association,Tennessee Valley Public Power Association,
Tennessee Valley Water Alliance,Tennessee American Water,
Tennessee Volunteer Pac,Tennessee Association of Professional Bail Agents,
Tennessee Wine & Spirits Retailers Good Gov'T Fund,Tennessee Wine And Spirits Retailers Association,
Tennessee Wine And Spirits Retailers Association,Tennessee Wine And Spirits Retailers Association,
Tennessee. Association Of Utility Districts,Tennessee Association of Utility Districts,
Tennessee911,Tennessee911,
Tes-Fcpe Tennessee Education Association,Tennessee Education Association,
The Auto Club Group,AAA,
The Hand Family Beverage,"Ray Hand, family and companies (Nasvhville)",
The Hand Family Beverage Co,"Ray Hand, family and companies (Nasvhville)",
The Tennessee Group Practice Coalition Pac,Tennessee Group Practice Coalition,
The Washington Center,The Washington Center,
The Washington Center For Internships And Academic Seminars,The Washington Center,
Thompson Engineering,Thompson Engineering,
"Title Loan Assn. Of Tn, Inc.",Title Loan Association of Tennessee,
Title Max,Community Choice Financial,
Titlemax,Community Choice Financial,
"Titlemax Of Tennessee, Inc.",Community Choice Financial,
"Tml Risk Management Pool, Inc.",Public Entity Partners,
Tmx Pac,Community Choice Financial,
Tn Academy Of Ophthalmology,Tennessee Academy of Ophthalmology,
Tn Academy Of Opthalmology,Tennessee Academy of Ophthalmology,
Tn Academy Of Physician Assistants,Tennessee Academy of Physician Assistants,
Tn Advance Financial Pac,Advance Financial,
Tn Advocates For Early Learning,Tennessean's For Quality Early Education,
Tn Alliance For Legal Services,Tennessee Alliance For Legal Services,
Tn Apartment Assn.,Tennessee Apartment Association,
Tn Assn Of Chiefs Of Police,Tennessee Association of Chiefs of Police,
Tn Assn. For Justice,Tennessee Trial Lawyers Association,
Tn Assn. Of Chiefs Of Police,Tennessee Association of Chiefs of Police,
Tn Assn. Of Nurse Anesthetists,Tennessee Association of Nurse Anesthetists,
Tn Assn. Of Professional Bail Agents,Tennessee Association of Professional Bail Agents,
Tn Assoc Of Criminal Defense Lawyers,Tennessee Association of Criminal Defense Lawyers,
Tn Assoc. Of Criminal Defense Lawyers,Tennessee Association of Criminal Defense Lawyers,
Tn Automotive Assn.,Tennessee Automotive Association,
Tn Bankers Association,Tennessee Bankers Association,
Tn Broadband Communications Council Dba Tn Fiber Optic Communities,Tennessee Broadband Communications Council - Tennessee Fiber Optic Communities,
Tn Business Roundtable,Tennessee Business Roundtable,
Tn Cable & Broadband Association,Tennessee Cable & Broadband Association,
Tn Cable Telecommunications Assn.,Tennessee Cable & Broadband Association,
Tn Cash Advance Assn.,Tennessee Cash Advance Association,
Tn Chamber Of Commerce & Industry,Tennessee Chamber of Commerce & Industry,
Tn Chiropractic Assn.,Tennessee Chiropractic Association,
Tn Coalition Against Domestic And Sexual Violence,Tennessee Coalition Against Domestic And Sexual Violence,
Tn Coalition To End Domestic And Sexual Violence,Tennessee Coalition Against Domestic And Sexual Violence,
Tn Construction Coalition,Tennessee Construction Coalition,
Tn Consumer Finance Assn.,Tennessee Consumer Finance Association,
Tn County Commissioners Assn.,Tennessee County Commissioners Association,
Tn County Hwy Officials Assn.,Tennessee County Highway officials Association,
Tn County Services Assn.,Tennessee County Services Association,
Tn Credit Union League,Tennessee Credit Union League,
Tn Dental Assn.,Tennessee Dental Association,
Tn Dental Hygienists Assn.,Tennessee Dental Hygienists Association,
Tn Disability Coalition,Tennessee Disability Coalition,
Tn Distillers Guild,Tennessee Distillers Guild,
Tn Education Assn.,Tennessee Education Association,
Tn Electric Cooperative Assn.,Tennessee Electric Cooperative Association,
Tn Farm Bureau Federation,Tennessee Farm Bureau,
Tn Farmers Insurance Co.,Tennessee Farmers Insurance,
Tn Forestry Assn.,Tennessee Forestry Association,
Tn Fuel & C-Store Assoc.,Tennessee Fuel & Convenience Store Association,
Tn Group Practice Coalition,Tennessee Group Practice Coalition,
Tn Health Care Assn.,Tennessee Health Care Association,
"Tn Health Management, Inc.",Tennessee Health Management,
Tn Hospital Assn.,Tennessee Hospital Association,
Tn Hospitality & Tourism Association,Tennessee Hospitality & Tourism Association,
Tn Hospitality Association,Tennessee Hospitality & Tourism Association,
Tn Independent Finance Assn.,Tennessee Installment Lenders Association,
Tn Installment Lenders Association,Tennessee Installment Lenders Association,
Tn Malt Beverage Assn.,Tennessee Malt Beverage Association,
Tn Manufactured Housing Assn. (Tmha),Tennessee Manufactured Housing Association,
Tn Medical Assn.,Tennessee Medical Association,
Tn Mortgage Bankers Assn.,Tennessee Mortgage Bankers Association,
Tn Mortgage Bankers Association,Tennessee Mortgage Bankers Association,
Tn Municipal Electric Power Assn.,Tennessee Municipal Electric Power Association,
Tn Municipal League,Tennessee Municipal League,
Tn Nurses Assn.,Tennessee Nurses Association,
Tn Oil And Gas Assn.,Tennessee Oil And Gas Association,
Tn Oil Marketers Assn.,Tennessee Oil And Gas Association,
Tn Optometric Assn.,Tennessee Association of Optometric Physicians,
Tn Organization Of School Superintendents,Tennessee Organization of School Superintendents,
Tn Physical Therapy Assn.,Tennessee Physical Therapy Association,
"Tn Press Assn., Inc.",Tennessee Press Association,
Tn Primary Care Assn.,Tennessee Primary Care Association,
Tn Psychological Assn.,Tennessee Psychological Association,
Tn Public And Teaching Hospital Assn.,Tennessee Public and Teaching Hospital Association,
Tn Public Television Council,Tennessee Public Television Council,
Tn Public Transportation Assn.,Tennessee Public Transportation Association,
Tn Radiological Society,Independent Medicine Pac,
Tn Road Builders Assn.,Tennessee Road Builders Association,
Tn Rural Cooperative Communications Assn.,Tennessee Rural Cooperative Communications Association,
Tn Rural Health,Tenenssee Farm Bureau,
Tn School Boards Assn.,Tennessee School Boards Association,
Tn School Systems For Equity,Tennessee School Systems For Equity - Tennessee Education And Management Services,
Tn Secondary School Athletic Assn.,Tennessee Secondary School Athletic Association,
Tn Society Of Certified Public Accountants,Tennessee Society of Certified Public Accountants,
Tn State Council Seiu,Service Employees International Union,
Tn State Employees Assn.,Tennessee State Employees Association,
Tn Telecommunications Assn.,Tennessee Broadband Association - Telecommunications Association,
"Tn Title Loans, Inc.",Tennessee Title Loans Association,
Tn Title Pledge Assn.,Tennessee Title Pledge Association,
Tn Trial Lawyers Assoc.,Tennessee Trial Lawyers Association,
Tn Trucking Assn.,Tennessee Trucking Association,
